schlcode,classid,c_size,classize,avgverb,avgmath,instrument,avg4_verb,avg4_math
51090,1,10,10,80.56,69.67,10.0,80.9000015258789,74.19000244140625
51091,1,31,31,67.7,64.62,31.0,74.77999877929688,74.30999755859375
51092,1,131,36,83.08,78.39,32.75,82.0000005812872,81.00000087193081
51092,2,131,31,81.1,79.93,32.75,82.0000005812872,81.00000087193081
51092,3,131,31,82.93,78.23,32.75,82.0000005812872,81.00000087193081
51092,4,131,33,82.03,78.37,32.75,82.0000005812872,81.00000087193081
51093,2,79,39,80.89,71.08,39.5,79.04999923706055,74.54000091552734
51093,1,79,40,85.0045,74.776,39.5,79.04999923706055,74.54000091552734
51098,1,69,34,84.69,83.16,34.5,81.51575608686967,77.8206049601237
51098,2,69,35,86.48,74.94,34.5,81.51575608686967,77.8206049601237
51100,1,48,36,79.0,69.0,24.0,78.87000274658203,75.38999938964844
51103,1,103,37,84.49,81.59,34.333333333333336,84.60055414835612,83.02471975262246
51103,2,103,33,84.93,79.2,34.333333333333336,84.60055414835612,83.02471975262246
51103,3,103,33,88.31,86.25,34.333333333333336,84.60055414835612,83.02471975262246
51104,1,51,29,84.21,77.82,25.5,83.99999904632568,82.00000095367432
51104,2,51,22,77.65,70.7,25.5,83.99999904632568,82.00000095367432
51107,1,78,39,82.59,76.92,39.0,82.0999984741211,76.10213270343718
51107,2,78,39,81.342575,81.31771,39.0,82.0999984741211,76.10213270343718
51111,1,55,18,67.81,60.41,27.5,72.9631039849643,75.0317232855435
51111,2,55,25,73.82,71.09,27.5,72.9631039849643,75.0317232855435
51112,2,54,25,81.86,72.24,27.0,75.03880035400391,68.72080139160157
51112,1,54,22,77.944214,67.52421,27.0,75.03880035400391,68.72080139160157
51116,1,85,25,80.95,76.64,28.333333333333332,72.85090637207031,80.51908805153586
51116,2,85,26,71.04,65.92,28.333333333333332,72.85090637207031,80.51908805153586
51116,3,85,24,78.64,74.36,28.333333333333332,72.85090637207031,80.51908805153586
51117,1,48,26,79.04,71.26,24.0,78.00000113629281,69.00000340887841
51117,2,48,22,73.33,64.57,24.0,78.00000113629281,69.00000340887841
51118,1,62,32,82.16,75.03,31.0,77.8949966430664,79.11593265856726
51118,2,62,29,77.69103,83.24379,31.0,77.8949966430664,79.11593265856726
51119,1,47,21,68.41,59.0,23.5,66.30157791940789,62.96684265136719
51119,2,47,26,67.35,54.23,23.5,66.30157791940789,62.96684265136719
51120,2,51,26,73.16,58.64,25.5,66.814907282049,65.25672773881392
51120,1,51,25,57.47619,46.285713,25.5,66.814907282049,65.25672773881392
51121,1,58,26,86.61,68.13,29.0,81.62610057248908,70.94982845500364
51121,2,58,32,86.68,78.35,29.0,81.62610057248908,70.94982845500364
51122,1,61,31,81.44,76.59,30.5,88.00000270720452,83.999999015562
51122,2,61,30,91.57,93.73,30.5,88.00000270720452,83.999999015562
51124,1,99,28,86.15,82.22,33.0,80.57438256767358,79.87471916970242
51124,3,99,26,79.84,78.68,33.0,80.57438256767358,79.87471916970242
51124,2,99,31,79.998276,76.27793,33.0,80.57438256767358,79.87471916970242
51126,1,20,20,79.41,85.35,20.0,84.4000015258789,84.0999984741211
51127,1,44,22,58.81,62.12,22.0,66.19500350952148,69.86999893188477
51127,2,44,22,75.352,70.95048,22.0,66.19500350952148,69.86999893188477
51130,1,49,21,73.44,66.22,24.5,69.71500015258789,69.875
51130,2,49,19,75.0,68.29,24.5,69.71500015258789,69.875
51132,1,27,27,85.88,77.27,27.0,81.62000274658203,76.97000122070312
51133,1,59,28,76.33,77.96,29.5,72.0,74.00000086370504
51133,2,59,31,79.8,80.08,29.5,72.0,74.00000086370504
51135,2,76,27,83.95,69.15,38.0,86.08243189631281,72.36230762188251
51135,1,76,33,89.17857,80.89286,38.0,86.08243189631281,72.36230762188251
51138,1,32,32,85.23,89.16,32.0,73.27799835205079,71.8
51145,1,77,34,69.41,63.21,38.5,67.99999967672058,61.99999917348226
51145,2,77,32,74.37,69.75,38.5,67.99999967672058,61.99999917348226
51147,1,90,27,74.58,67.83,30.0,62.11285854521252,56.65409169052587
51147,3,90,23,65.22,60.7,30.0,62.11285854521252,56.65409169052587
51147,2,90,26,63.52476,66.475235,30.0,62.11285854521252,56.65409169052587
51157,1,53,27,90.13,85.79,26.5,87.46688724093967,82.42444576687284
51157,2,53,26,86.54,84.77,26.5,87.46688724093967,82.42444576687284
51163,1,75,40,82.74,79.08,37.5,80.99999909173874,79.9999984741211
51163,2,75,35,88.93,83.0,37.5,80.99999909173874,79.9999984741211
51164,2,89,32,75.87,67.41,29.666666666666668,73.49773265406029,69.3704017099708
51164,3,89,29,74.54,71.93,29.666666666666668,73.49773265406029,69.3704017099708
51164,1,89,28,77.59929,71.03,29.666666666666668,73.49773265406029,69.3704017099708
51165,1,52,27,82.46,83.42,26.0,71.41999816894531,70.91999816894531
51165,2,52,25,76.71,65.31,26.0,71.41999816894531,70.91999816894531
51166,1,50,28,79.42,77.88,25.0,77.99999937719228,67.99999937719228
51166,2,50,22,78.09,68.5,25.0,77.99999937719228,67.99999937719228
51167,1,59,30,82.77,78.77,29.5,70.85278520427767,73.95311424380444
51167,2,59,29,67.76,75.14,29.5,70.85278520427767,73.95311424380444
51172,1,69,28,83.25,66.92,34.5,80.000000726609,76.0
51172,2,69,29,76.73,74.32,34.5,80.000000726609,76.0
51178,1,40,29,75.2,67.36,40.0,78.33000183105469,69.66999816894531
51179,1,39,19,73.71,66.33,39.0,66.99999930641867,69.0
51179,2,39,20,69.89,59.5,39.0,66.99999930641867,69.0
51186,2,62,29,76.71,65.57,31.0,73.80952453613281,64.48511771268623
51186,1,62,24,79.641815,77.610435,31.0,73.80952453613281,64.48511771268623
51188,1,65,32,86.25,81.84,32.5,82.9971184363732,80.33924505845556
51188,2,65,33,84.15,78.3,32.5,82.9971184363732,80.33924505845556
51189,1,17,17,72.0,64.0,17.0,71.0,67.66999816894531
51190,1,28,28,86.08,66.15,28.0,84.11000061035156,68.45999908447266
51193,1,23,23,67.82,52.17,23.0,70.7300033569336,70.18000030517578
51194,2,76,24,76.63,63.0,38.0,71.65031529986669,69.89250004291534
51194,3,76,25,69.91,56.0,38.0,71.65031529986669,69.89250004291534
51194,1,76,27,66.883705,52.51852,38.0,71.65031529986669,69.89250004291534
51199,1,29,29,87.86,82.48,29.0,86.5999984741211,74.80000305175781
51203,2,69,35,69.81,57.56,34.5,75.7121043958162,64.36868517022384
51203,1,69,34,70.13818,54.865456,34.5,75.7121043958162,64.36868517022384
51208,1,12,12,58.83,46.5,12.0,59.68000030517578,50.11000061035156
51244,1,50,27,81.96,70.56,25.0,80.57500076293945,74.02499771118164
51244,2,50,23,84.13043,69.391304,25.0,80.57500076293945,74.02499771118164
51246,1,79,35,82.37,78.8,39.5,79.72548527871409,76.2909676336473
51246,2,79,35,79.05,83.51,39.5,79.72548527871409,76.2909676336473
51247,2,59,21,79.0,75.35,29.5,83.20500183105469,80.92192209683932
51247,1,59,38,84.52381,85.430954,29.5,83.20500183105469,80.92192209683932
51255,1,118,40,74.89,62.16,39.333333333333336,68.35768609297902,71.6735790051912
51255,2,118,40,71.35,61.38,39.333333333333336,68.35768609297902,71.6735790051912
51256,1,79,40,68.89,61.08,39.5,66.00000147233929,65.00000133849026
51256,2,79,39,73.13,60.41,39.5,66.00000147233929,65.00000133849026
51257,2,106,30,73.52,63.86,35.333333333333336,67.06779712741658,63.28705821317785
51257,3,106,39,74.35,62.59,35.333333333333336,67.06779712741658,63.28705821317785
51257,1,106,37,65.370575,54.063713,35.333333333333336,67.06779712741658,63.28705821317785
51259,1,90,29,78.88,69.31,30.0,77.46848326091525,74.8983552184286
51259,3,90,30,75.44,79.96,30.0,77.46848326091525,74.8983552184286
51259,2,90,31,76.7669,69.82828,30.0,77.46848326091525,74.8983552184286
51263,1,33,33,79.39,71.82,33.0,80.48999786376953,80.83000183105469
51266,1,122,41,82.08,78.92,30.5,77.00000050442277,74.00000044504802
51266,2,122,41,85.78,80.33,30.5,77.00000050442277,74.00000044504802
51266,3,122,40,80.2,72.3,30.5,77.00000050442277,74.00000044504802
51267,1,52,28,56.5,48.79,26.0,59.84353054271025,50.21450992659027
51267,2,52,24,62.157894,47.052,26.0,59.84353054271025,50.21450992659027
51269,1,66,33,75.44,63.94,33.0,75.41500091552734,70.2937853014147
51269,2,66,33,77.27,69.5,33.0,75.41500091552734,70.2937853014147
51273,2,43,22,78.58,68.11,21.5,75.38435774583083,69.12615242982523
51273,1,43,21,77.42,67.89,21.5,75.38435774583083,69.12615242982523
51275,1,83,32,81.5,82.27,27.666666666666668,75.13675834037163,71.34240510192099
51275,2,83,38,89.77,88.69,27.666666666666668,75.13675834037163,71.34240510192099
51276,1,82,28,83.41,75.74,27.333333333333332,73.00000085830689,65.99999968584846
51276,2,82,30,68.48,57.14,27.333333333333332,73.00000085830689,65.99999968584846
51276,3,82,24,60.0,48.43,27.333333333333332,73.00000085830689,65.99999968584846
51277,1,81,26,68.65,61.78,27.0,71.00000051434121,63.99999847412109
51277,2,81,26,66.48,55.32,27.0,71.00000051434121,63.99999847412109
51277,3,81,29,65.93,56.97,27.0,71.00000051434121,63.99999847412109
51278,1,79,29,79.36,75.07,39.5,70.8507466102714,71.00074380903102
51278,3,79,25,78.38,75.54,39.5,70.8507466102714,71.00074380903102
51278,2,79,25,79.2,68.045,39.5,70.8507466102714,71.00074380903102
51279,1,87,28,75.35,69.5,29.0,80.8199971516927,82.40999857584636
51279,2,87,28,81.0,79.44,29.0,80.8199971516927,82.40999857584636
51279,3,87,32,80.31935,83.87484,29.0,80.8199971516927,82.40999857584636
51281,1,49,26,76.13,62.46,24.5,71.17320913638709,65.78887075748084
51281,2,49,23,70.79,62.5,24.5,71.17320913638709,65.78887075748084
51282,1,70,37,66.82,64.36,35.0,68.00000074174669,66.00000120464124
51282,2,70,34,72.82,62.1,35.0,68.00000074174669,66.00000120464124
51283,1,87,30,77.63,72.11,29.0,72.93378448486328,69.52864755166543
51283,2,87,29,72.54,65.21,29.0,72.93378448486328,69.52864755166543
51283,3,87,28,71.37625,63.04125,29.0,72.93378448486328,69.52864755166543
51287,1,99,33,75.86,71.41,33.0,69.06000137329102,64.37913048785666
51287,2,99,33,67.19,56.59,33.0,69.06000137329102,64.37913048785666
51287,3,99,33,66.72,61.0,33.0,69.06000137329102,64.37913048785666
51288,1,41,20,70.15,55.75,20.5,65.99999920527141,57.000000635782875
51288,2,41,21,70.7,50.15,20.5,65.99999920527141,57.000000635782875
51289,1,40,40,67.97,62.47,40.0,60.59000015258789,60.439998626708984
51290,1,99,33,87.36,80.03,33.0,84.00000223906144,85.00000174149223
51290,2,99,33,87.18,84.36,33.0,84.00000223906144,85.00000174149223
51290,3,99,33,79.06,80.74,33.0,84.00000223906144,85.00000174149223
51291,1,77,31,72.85,63.66,38.5,64.61268280773628,63.131521888401195
51291,2,77,31,62.963463,49.84667,38.5,64.61268280773628,63.131521888401195
51295,1,47,26,78.54,68.71,23.5,76.13567558494773,77.34000195954975
51295,2,47,21,80.24,73.19,23.5,76.13567558494773,77.34000195954975
51296,1,85,29,79.78,66.63,28.333333333333332,83.00000102249618,76.00000251691365
51296,2,85,26,81.23,73.04,28.333333333333332,83.00000102249618,76.00000251691365
51296,3,85,30,85.37,78.4,28.333333333333332,83.00000102249618,76.00000251691365
51297,1,56,31,70.36,59.86,28.0,71.1785076767651,68.62548212851247
51297,2,56,25,78.246666,66.66333,28.0,71.1785076767651,68.62548212851247
51298,1,98,33,73.33,56.63,32.666666666666664,68.47228856833584,63.560120219276065
51298,2,98,30,76.55,69.09,32.666666666666664,68.47228856833584,63.560120219276065
51298,3,98,35,69.44,51.93,32.666666666666664,68.47228856833584,63.560120219276065
51299,1,59,30,77.75,70.75,29.5,77.0,74.0
51299,2,59,29,79.52,73.38,29.5,77.0,74.0
51300,1,71,35,72.11,57.66,35.5,76.9422840663365,73.82743116106306
51300,2,71,36,67.82,61.79,35.5,76.9422840663365,73.82743116106306
51302,1,76,38,72.78,63.16,38.0,64.0000005681464,63.000001284950656
51302,2,76,38,77.17,73.42,38.0,64.0000005681464,63.000001284950656
51303,2,95,33,74.94,67.06,31.666666666666668,69.27479469612854,61.98837713293127
51303,3,95,29,71.93,56.71,31.666666666666668,69.27479469612854,61.98837713293127
51303,1,95,34,84.63647,78.62556,31.666666666666668,69.27479469612854,61.98837713293127
51304,2,92,28,71.05,64.55,30.666666666666668,72.71630527662194,75.30000029218958
51304,4,92,12,80.79,68.96,30.666666666666668,72.71630527662194,75.30000029218958
51304,3,92,29,72.21407,69.88538,30.666666666666668,72.71630527662194,75.30000029218958
51305,1,45,23,85.09,76.32,22.5,78.15999984741211,74.91999816894531
51305,2,45,22,80.62,76.52,22.5,78.15999984741211,74.91999816894531
51307,1,80,26,84.58,85.29,40.0,83.00000067318187,81.99999955771627
51307,2,80,29,87.85,83.0,40.0,83.00000067318187,81.99999955771627
51307,3,80,25,85.64,86.84,40.0,83.00000067318187,81.99999955771627
51308,1,34,27,69.76,55.68,34.0,63.08000183105469,55.959999084472656
51309,1,94,32,75.71,64.87,31.333333333333332,76.00000131009806,70.99999861283736
51309,2,94,32,81.41,79.0,31.333333333333332,76.00000131009806,70.99999861283736
51309,3,94,30,77.07,71.93,31.333333333333332,76.00000131009806,70.99999861283736
51310,1,79,28,68.92,52.52,39.5,64.0,55.0
51310,2,79,24,61.09,38.83,39.5,64.0,55.0
51310,3,79,27,57.46,45.23,39.5,64.0,55.0
51311,2,108,36,73.58,59.75,36.0,63.50967349176822,59.64244850314393
51311,3,108,36,73.55,56.37,36.0,63.50967349176822,59.64244850314393
51311,1,108,36,81.1842,78.3725,36.0,63.50967349176822,59.64244850314393
51312,1,54,27,69.05,64.55,27.0,71.15245056152344,67.15056725268094
51312,2,54,27,75.3,65.13,27.0,71.15245056152344,67.15056725268094
51313,1,84,29,77.7,65.27,28.0,66.99999768806227,68.0
51313,2,84,30,77.37,67.77,28.0,66.99999768806227,68.0
51313,3,84,25,74.24,61.92,28.0,66.99999768806227,68.0
51314,1,119,41,74.63,68.24,39.666666666666664,77.00000021192763,73.99999979001666
51314,2,119,40,75.35,65.55,39.666666666666664,77.00000021192763,73.99999979001666
51314,3,119,38,75.19,66.22,39.666666666666664,77.00000021192763,73.99999979001666
51315,2,80,40,70.74,59.54,40.0,74.17360046386719,70.4823984781901
51315,1,80,40,75.147,58.4735,40.0,74.17360046386719,70.4823984781901
